X3_2046_B	X7_2472_B	X9_2492_B	X11_2653_B	X15_2677_B	X17_2691_B	X23_2817_B	X25_2852_B
ENSG00000118194	35	84	250	1	132	4	0	3
ENSG00000118197	446	523	390	421	460	268	527	280
ENSG00000118200	873	1401	683	556	1151	571	1185	524
ENSG00000118217	778	1397	1062	1311	1790	1062	2296	1246
ENSG00000118292	125	38	110	95	147	159	157	72
ENSG00000118298	0	1	0	11	11	5	10	11
ENSG00000118454	207	407	288	257	452	321	578	368
ENSG00000118473	125	145	191	58	169	321	127	124
ENSG00000118655	166	328	149	105	210	162	378	216
ENSG00000118729	1	2	5	16	82	6	32	41
ENSG00000118733	0	0	0	0	1	0	0	0
ENSG00000118873	1090	1906	824	871	1317	721	1567	710
ENSG00000119280	1663	4223	2090	1271	1769	1163	1615	905
ENSG00000119283	4	0	0	0	4	34	3	1
ENSG00000119285	1418	2320	909	654	1423	683	1265	691
ENSG00000119535	286	407	286	162	525	2472	997	341
ENSG00000120332	2	9	29	112	244	73	111	241
ENSG00000120333	252	474	394	671	631	270	695	428
ENSG00000120334	124	519	156	95	168	108	190	92
ENSG00000120337	1	4	5	3	17	2	5	2
ENSG00000120341	7	2	1	3	4	3	2	1
ENSG00000120370	300	509	552	162	292	197	306	129
ENSG00000120656	151	539	254	265	238	286	546	267
ENSG00000120937	0	0	0	0	0	0	0	0
ENSG00000120942	151	390	234	388	387	273	586	519
ENSG00000120948	2165	3344	2062	1333	2062	1569	3585	1798
ENSG00000120949	28	21	44	14	41	130	33	13
ENSG00000120952	0	0	0	0	1	0	0	0
ENSG00000121310	639	857	819	583	988	657	2390	903
ENSG00000121446	2	1	0	0	0	0	0	0
ENSG00000121454	5	4	5	3	3	5	1	2
ENSG00000121481	219	668	285	575	628	311	821	310
ENSG00000121486	319	616	300	364	720	357	1075	240
ENSG00000121644	1043	2124	1043	762	1062	647	987	474
ENSG00000121753	33	22	42	573	117	298	2110	678
ENSG00000121764	0	0	0	2	2	2	0	0
ENSG00000121766	286	993	365	334	338	393	1019	846
ENSG00000121769	51	33	14	25	68	612	65	47
ENSG00000121774	2252	4329	2066	2187	2550	1971	5438	3342
ENSG00000121775	200	329	272	144	201	214	282	196
ENSG00000121848	549	1584	597	1112	1211	822	1454	710
ENSG00000121851	127	281	178	320	318	313	639	252
ENSG00000121900	279	893	283	502	280	253	788	771
ENSG00000121903	37	81	77	54	95	64	174	53
ENSG00000121904	34	51	42	7	56	215	84	38
ENSG00000121905	2	9	2	7	4	5	7	28
ENSG00000121931	231	357	355	287	379	235	632	171
ENSG00000121933	232	144	104	65	229	1396	351	167
ENSG00000121940	538	855	748	489	612	434	1317	710
ENSG00000121957	235	677	378	160	257	161	450	297
ENSG00000122176	90	216	330	5138	3496	1144	3830	903
ENSG00000122180	0	1	0	0	3	0	0	3
ENSG00000122188	561	279	702	49	140	81	109	78
ENSG00000122218	3224	10711	4863	5404	5480	3692	7015	4431
ENSG00000122223	18	20	55	15	13	70	50	7
ENSG00000122224	102	61	67	30	116	138	126	22
ENSG00000122406	6936	16382	7137	8602	7652	5028	10322	8372
ENSG00000122417	479	1676	647	260	387	276	337	216
ENSG00000122420	28	29	309	120	87	17	34	5
ENSG00000122432	4	19	7	2	9	14	8	5
ENSG00000122435	169	319	274	72	217	164	287	147
ENSG00000122477	17	17	25	1	9	112	10	17
ENSG00000122481	45	66	63	30	50	50	70	44
ENSG00000122482	457	974	637	414	714	433	1413	476
ENSG00000122483	179	408	172	36	98	74	155	93
ENSG00000122484	412	780	516	258	564	296	808	417
ENSG00000122497	38	101	70	21	61	47	60	22
ENSG00000123080	139	161	322	145	194	138	349	276
